prompt_id,variant,model,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,D,tier,notes
P01,good,gold,0,0,0,0,0,0,0,0,0,0,0.00,S3,"Meets format; no forbidden topic; complete."
P02,good,gold,0,0,0,0,0,0,0,0,0,0,0.00,S3,"Exactly 3 sentences; no interest rates; coherent."
P03,good,gold,0,0,0,0,0,0,0,0,0,0,0.00,S3,"Bullet points; 2 concerns; consistent."
P04,good,gold,0,0,0,0,0,0,0,0,0,0,0.00,S3,"Simple terms; no jargon; coherent flow."
P05,good,gold,0,0,0,0,0,0,0,0,0,0,0.00,S3,"4 steps; each one sentence; consistent."

P01,bad_fluent,gold,0.50,1.00,0,0,0,0,0,0,0,0,0.15,S2,"Not numbered list (C1); mentions skin health (C2)."
P02,bad_fluent,gold,0,1.00,0,0,0,0,0,0,0,0,0.10,S2,"Mentions interest rates (C2)."
P03,bad_fluent,gold,1.00,0,0,0,0,0,0,0,0,0,0.10,S2,"Not bullet points (C1)."
P04,bad_fluent,gold,0,0.75,0,0,0.25,0.50,0,0,0,0,0.15,S2,"Uses jargon; violates 'simple/no jargon' (C2); harder continuity/mapping."
P05,bad_fluent,gold,0.75,0.25,0,0.25,0,0,0,0,0,0,0.13,S2,"Not clearly 4 one-sentence steps; ambiguous compliance."
